,Voltaje(V),Campo(Oe),Resistencia(Ohm)
40,3.94999999999996,7881.940802628544,25.896877870000004
41,4.039999999999958,8050.4343267689055,25.896207145
42,4.129999999999956,8217.941221937583,25.895702175000004
43,4.229999999999954,8402.83719089772,25.8950633
44,4.319999999999952,8568.081575612783,25.895616815
45,4.40999999999995,8732.164593120135,25.89518671
46,4.4999999999999485,8895.025594405517,25.89481764
47,4.589999999999947,9056.601670676917,25.89470024
48,4.689999999999944,9234.544234955656,25.89413843
49,4.779999999999943,9393.19066695873,25.893750095
50,4.869999999999941,9550.341502455543,25.893043615
51,4.959999999999939,9705.924056618462,25.892970075
52,5.049999999999937,9859.863148488379,25.893301585
53,5.139999999999935,10012.081054731614,25.892630775
54,5.239999999999933,10179.095616765664,25.89240846
55,5.329999999999931,10327.412962140232,25.891933155
56,5.419999999999929,10473.750553486578,25.891764355000003
57,5.509999999999927,10618.019729648482,25.89167252
58,5.599999999999925,10760.12905074144,25.89177714
59,5.699999999999923,10915.380384049151,25.891399765
60,5.789999999999921,11052.616956218562,25.891010675
61,5.879999999999919,11187.390919707323,25.890908815
62,5.969999999999917,11319.598925132063,25.890680980000003
63,6.059999999999915,11449.134608027436,25.89070683
64,6.149999999999913,11575.888542602994,25.890811355
65,6.249999999999911,11713.32672523678,25.891172695
66,6.339999999999909,11833.834688559746,25.891207125
67,6.429999999999907,11951.20038657527,25.89135571
68,6.519999999999905,12065.301322207133,25.89061442
69,6.609999999999904,12176.011700700305,25.89040127
70,6.709999999999901,12294.88947020599,25.890359785
71,6.7999999999999,12398.013795867466,25.889859375
72,6.8899999999998975,12497.334610238535,25.8898325
73,6.979999999999896,12592.712075602063,25.88975029
74,7.069999999999894,12684.002820208416,25.88992826
75,7.159999999999892,12771.059892032345,25.89035015
76,7.25999999999989,12862.641283961651,25.889904215
77,7.349999999999888,12940.261640969544,25.88951835
78,7.439999999999886,13013.167741200728,25.88950662
79,7.529999999999884,13081.197427880934,25.889324955
80,7.619999999999882,13144.18472760657,25.889066885
81,7.71999999999988,13208.050005643989,25.888944915000003
82,7.809999999999878,13259.829776166218,25.88887358
83,7.899999999999876,13306.02588662158,25.888540465
84,7.989999999999874,13346.456187181127,25.888963135
85,7.9300000000000015,13320.152410380642,25.888716604999995
86,7.840000000000003,13275.857798491541,25.887833785
87,7.740000000000005,13220.029974533005,25.888691235
88,7.650000000000007,13164.030721493667,25.889238345000003
89,7.560000000000009,13102.761766722995,25.88841715
90,7.470000000000011,13036.394244397407,25.88860159
91,7.380000000000013,12965.095410406506,25.88919219
92,7.280000000000015,12880.289487258224,25.88915052
93,7.190000000000017,12799.112179234406,25.889248365
94,7.100000000000019,12713.499613150501,25.889598375
95,7.010000000000021,12623.603586666317,25.8893034
96,6.920000000000023,12529.572255508554,25.88969841
97,6.830000000000025,12431.550179713926,25.890190035
98,6.730000000000027,12318.12764863903,25.890534405
99,6.640000000000029,12212.139480006139,25.891055294999997
100,6.550000000000031,12102.58781824558,25.891072365000003
101,6.460000000000033,11989.602926951175,25.89141713
102,6.370000000000035,11873.311710380463,25.891444695
103,6.270000000000037,11740.371669184899,25.891320030000003
104,6.180000000000039,11617.502328031424,25.891015635
105,6.090000000000041,11491.700495516576,25.89175949
106,6.000000000000043,11363.079751131329,25.891690635
107,5.9100000000000446,11231.750551384077,25.89139882
108,5.820000000000047,11097.820276043743,25.892349620000005
109,5.720000000000049,10946.08503140779,25.892581555
110,5.6300000000000505,10807.002646220897,25.892685235000005
111,5.540000000000052,10665.634083726478,25.892972845
112,5.450000000000054,10522.074560713803,25.89256964
113,5.360000000000056,10376.416453586382,25.893296895
114,5.260000000000058,10212.221673793623,25.89382286
115,5.17000000000006,10062.424065497375,25.89378767
116,5.080000000000062,9910.797605731597,25.89362574
117,4.990000000000064,9757.423479596477,25.894337940000003
118,4.900000000000066,9602.380268160137,25.894263360000004
119,4.810000000000068,9445.743994701748,25.894933125
120,4.71000000000007,9269.92461191909,25.89506016
121,4.620000000000072,9110.163619496212,25.89567881
122,4.530000000000074,8949.030228533771,25.896232325
123,4.440000000000076,8786.590432794535,25.896008395000003
124,4.350000000000078,8622.907904606021,25.896250725
125,4.25000000000008,8439.655503530408,25.896875475
126,4.160000000000082,8273.548344761411,25.897110075
127,4.070000000000084,8106.382203339212,25.897589395
128,3.9800000000000857,7938.2116937512465,25.897600085000004
129,3.890000000000088,7769.08934540341,25.89690915
130,3.8000000000000895,7599.065648863163,25.897395615
131,3.700000000000092,7409.152214696883,25.898518180000003
132,3.6100000000000936,7237.382571175204,25.899113275
133,3.5200000000000955,7064.856126561107,25.89926462
134,3.4300000000000974,6891.615475368889,25.899678135
135,3.3400000000001,6717.70140962812,25.899671455000004
136,3.240000000000101,6523.7211719379175,25.90026093
137,3.1500000000001034,6348.511566590056,25.900484945
138,3.0600000000001053,6172.744432061141,25.901109790000003
139,2.970000000000107,5996.45363600391,25.90109406
140,2.880000000000109,5819.671479940069,25.901524255
141,2.7800000000001117,5622.707964622461,25.9021513
142,2.690000000000113,5444.987787555,25.902096845
143,2.600000000000115,5266.867232431589,25.902641585000005
144,2.510000000000117,5088.372648073428,25.903255845
145,2.420000000000119,4909.5290535243885,25.9031724
146,2.330000000000121,4730.360184294135,25.903488910000004
147,2.230000000000123,4530.929491501224,25.903777685
148,2.140000000000125,4351.14636723293,25.90421066
149,2.050000000000127,4171.104107642921,25.904568
150,1.960000000000128,3990.821657327265,25.9051691
151,1.870000000000128,3810.316913701522,25.905363745
152,1.7700000000001277,3609.515891356877,25.90610294
153,1.6800000000001276,3428.5961894428883,25.90654346
154,1.5900000000001275,3247.5036821153976,25.906635765
155,1.5000000000001277,3066.2524475527034,25.906607529999995
156,1.4100000000001274,2884.855753106292,25.906685835
157,1.3200000000001273,2703.3261015439616,25.90705577
158,1.2200000000001272,2501.4848614934967,25.90712376
159,1.1300000000001271,2319.712406268476,25.907812215
160,1.040000000000127,2137.841505699607,25.90892363
161,0.950000000000127,1955.8820051043378,25.90847177
162,0.8600000000001269,1773.8432215701234,25.909184555000003
163,0.7600000000001268,1571.4956513080965,25.910016925
164,0.6700000000001267,1389.3179782913544,25.90966749
165,0.5800000000001266,1207.0871345987464,25.909138875000004
166,0.4900000000001265,1024.8107515437068,25.90760841
167,0.4000000000001265,842.496168563382,25.905230145
168,0.3100000000001264,660.1504794617429,25.903837495
169,0.2100000000001263,457.5160558218512,25.9039795
170,0.1200000000001262,275.12715444979597,25.903312015
171,0.0300000000001262,92.72814956164265,25.901672175
172,-0.0599999999998737,-89.67438902574386,25.900265405
173,-0.1499999999998737,-272.07390077497166,25.899107935
174,-0.2499999999998738,-474.72844801657084,25.900563440000003
175,-0.3399999999998739,-657.099801141635,25.9023859
176,-0.429999999999874,-839.447272378393,25.90493288
177,-0.519999999999874,-1021.7638535002305,25.90581589
178,-0.6099999999998741,-1204.0423092063047,25.90719225
179,-0.6999999999998742,-1386.275130878428,25.90831956
180,-0.7999999999998743,-1588.6929891269845,25.9103798
181,-0.8899999999998743,-1770.8033184496958,25.910020445
182,-0.9799999999998744,-1952.8424018795235,25.909900969999995
183,-1.0699999999998744,-2134.801121322144,25.909733495
184,-1.1599999999998745,-2316.6698490121867,25.90899419
185,-1.2499999999998743,-2498.43840127012,25.908988665
186,-1.3499999999998746,-2700.2728294252947,25.90842017
187,-1.4399999999998747,-2881.793689862515,25.908753115000003
188,-1.5299999999998748,-3063.178633371535,25.909214775
189,-1.6199999999998749,-3244.414705009773,25.90810108
190,-1.709999999999875,-3425.488157566785,25.907906245000003
191,-1.809999999999875,-3626.4723866409267,25.907989305
192,-1.8999999999998751,-3807.1535557905177,25.907987970000004
193,-1.9899999999998752,-3987.623766325659,25.907398229999995
194,-2.079999999999873,-4167.865528096524,25.90649223
195,-2.169999999999872,-4347.86032233173,25.90554761
196,-2.2599999999998697,-4527.588555395204,25.90493889
197,-2.3599999999998675,-4726.948724610228,25.905223835
198,-2.4499999999998656,-4906.044769840789,25.90489502
199,-2.539999999999864,-5084.805918262593,25.90487098
200,-2.629999999999862,-5263.207671513275,25.90463590000001
201,-2.71999999999986,-5441.2242200120945,25.90441665
202,-2.8199999999998577,-5638.535511836745,25.904007425
203,-2.909999999999856,-5815.647926221323,25.903487105
204,-2.999999999999854,-5992.285950225956,25.903616625
205,-3.089999999999852,-6168.417897867276,25.903745375
206,-3.17999999999985,-6344.010535589836,25.903023815000005
207,-3.269999999999848,-6519.029036022989,25.902198885
208,-3.369999999999846,-6712.776254382707,25.9020483
209,-3.459999999999844,-6886.460877395356,25.901973635
210,-3.549999999999842,-7059.45231492006,25.901777355
211,-3.63999999999984,-7231.708701396637,25.901807684999994
212,-3.7299999999998383,-7403.186341096003,25.901135535
213,-3.829999999999836,-7592.7482138144205,25.900808335
214,-3.9199999999998334,-7762.429835833285,25.9004488
215,-4.009999999999833,-7931.184560931424,25.90004454
216,-4.099999999999831,-8098.960683513886,25.899725435000004
217,-4.189999999999829,-8265.704431463122,25.899262425
218,-4.279999999999827,-8431.35991989587,25.89907636
219,-4.379999999999825,-8614.074548218967,25.898668675
220,-4.469999999999823,-8777.2393028576,25.898418715
221,-4.559999999999821,-8939.127918799122,25.89802609
222,-4.649999999999819,-9099.675339507488,25.897443765
223,-4.739999999999817,-9258.814159327232,25.897236634999995
224,-4.839999999999815,-9433.898027811323,25.89696026
225,-4.929999999999813,-9589.830940314241,25.896819305
226,-5.019999999999811,-9744.130018849017,25.896814245
